,SettlementPoint,Mean,Min,Max,SD,Year,Month
192,HB_PAN,16.54876666666666,-19.01,99.64,14.227681951102408,2019,04
193,HB_PAN,16.414327956989226,-15.06,67.69,13.544792459757307,2019,05
194,HB_PAN,20.731319444444456,-11.58,100.06,15.826254741623815,2019,06
195,HB_PAN,28.384569892473117,0.5,274.16,27.36512057912496,2019,07
196,HB_PAN,124.9917338709677,-9.99,3497.75,401.49762789284887,2019,08
197,HB_PAN,72.85329166666678,-14.97,5010.1,381.54704670945955,2019,09
198,HB_PAN,18.71676075268816,-20.69,843.05,54.795727595405175,2019,10
199,HB_PAN,11.661291666666664,-29.98,211.43,21.725598922420964,2019,11
200,HB_PAN,8.81724462365592,-27.84,60.3,16.045190188916138,2019,12
201,HB_SOUTH,19.210053763440854,5.18,54.4,5.458224904565119,2016,01
202,HB_SOUTH,23.624811827956986,1.89,96.01,7.575724207807043,2017,01
203,HB_SOUTH,39.498145161290296,6.01,1675.95,88.67166127106827,2018,01
204,HB_SOUTH,25.086061827956964,7.0,74.19,7.680102234868328,2019,01
205,HB_SOUTH,15.333591954022989,2.02,50.25,5.766310020451892,2016,02
206,HB_SOUTH,21.079360119047603,3.29,53.41,7.134705341168082,2017,02
207,HB_SOUTH,22.306398809523813,4.08,74.89,7.797641728131434,2018,02
208,HB_SOUTH,22.125639880952377,5.75,58.75,6.98671715324944,2019,02
209,HB_SOUTH,16.763109017496653,1.0,69.59,7.562570221381636,2016,03
210,HB_SOUTH,23.680753701211305,5.02,78.22,8.666648996123275,2017,03
211,HB_SOUTH,22.888452220726812,7.37,70.15,7.99013498228365,2018,03
212,HB_SOUTH,27.13555854643338,6.63,685.53,34.99492019245875,2019,03
213,HB_SOUTH,18.51290277777777,1.17,99.0,9.962189284750309,2016,04
214,HB_SOUTH,25.6094027777778,8.88,94.72,9.029660940162142,2017,04
215,HB_SOUTH,24.471888888888902,7.06,54.92,7.698613356269684,2018,04
216,HB_SOUTH,22.463333333333342,4.21,105.56,11.90811907317516,2019,04
217,HB_SOUTH,18.570456989247315,2.77,71.92,8.661368325580215,2016,05
218,HB_SOUTH,26.49501344086023,4.73,68.65,9.192251989315865,2017,05
219,HB_SOUTH,34.2260752688172,9.67,531.39,37.16877772907251,2018,05
220,HB_SOUTH,24.059946236559167,9.4,66.0,8.276677345653288,2019,05
221,HB_SOUTH,24.645374999999984,4.93,119.5,11.984516256441225,2016,06
222,HB_SOUTH,29.65469444444443,15.39,98.22,13.388315766817483,2017,06
223,HB_SOUTH,30.068638888888913,16.07,114.49,13.9785372968641,2018,06
224,HB_SOUTH,23.904361111111104,10.55,104.57,12.982437741673447,2019,06
225,HB_SOUTH,26.960255376344076,-27.74,100.15,14.223926454532691,2016,07
226,HB_SOUTH,32.12946236559143,17.07,268.53,18.901360436732627,2017,07
227,HB_SOUTH,78.8473790322581,10.07,2058.15,232.88427198288306,2018,07
228,HB_SOUTH,29.637500000000028,11.46,274.37,26.76676244782117,2019,07
229,HB_SOUTH,31.20797043010751,13.44,237.08,28.706992658650858,2016,08
230,HB_SOUTH,28.315026881720453,16.63,91.52,11.581170602149854,2017,08
231,HB_SOUTH,31.66752688172045,14.7,149.28,18.317685981494456,2018,08
232,HB_SOUTH,125.93654569892459,10.49,3497.19,400.26523323143147,2019,08
